,umur,produk,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,warna_kulit,tone_kulit,value
2380,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,3.3,284,Shopee,Sun Protection,Moisturizer,Combination,1 week - 1 month,1,4,Light,Neutral,1
2383,19 - 24,Ultralight Hydraglow Day Cream,5.0,12,Shopee,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium,Neutral,1
2386,25 - 29,C White Lightening Serum,4.8,27,Shopee,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium,Neutral,1
2400,19 - 24,Magic Colour Lip Serum,3.9,251,Instagram,Lip Balm \\u0026 Treatments,Lips,Combination,1 month - 3 months,1,5,Medium Light,Neutral,1
2408,25 - 29,Let It Glow Hydraveil Primer Serum,3.7,165,Instagram,Corrector \\u0026 Primer,Face,Oily,1 week - 1 month,1,5,Medium,Neutral,1
2413,30 - 34,Ultralight Hydraglow Day Cream,4.4,666,Shopee,Day Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
2419,35 - 39,C White Lightening Serum,4.7,9,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
2422,35 - 39,C White Night Moisturizer,4.0,2,Shopee,Night Cream,Moisturizer,Oily,1 month - 3 months,1,5,Medium Light,Neutral,1
2425,19 - 24,C White Lightening Serum,4.0,105,Shopee,Serum \\u0026 Essence,Treatment,Oily,1 month - 3 months,1,5,Medium Light,Neutral,1
2484,25 - 29,Ultralight Hydraglow Day Cream,5.0,105,Shopee,Day Cream,Moisturizer,Oily,1 week - 1 month,1,5,Medium Dark,Neutral,1
2491,25 - 29,C White Lightening Serum,4.6,425,Shopee,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,5,Medium Dark,Neutral,1
2542,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.7,458,Shopee,Sun Protection,Moisturizer,Oily,1 week - 1 month,1,5,Medium Dark,Neutral,1
2617,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,5.0,2,Shopee,Sun Protection,Moisturizer,Combination,3 months - 6 months,0,5,Medium,Neutral,1
2621,30 - 34,C White Night Moisturizer,4.8,20,Gift,Night Cream,Moisturizer,Normal,Less than 1 week,0,5,Medium Dark,Neutral,1
2639,19 - 24,Ultralight Hydraglow Day Cream,4.7,27,Sample,Day Cream,Moisturizer,Combination,Less than 1 week,1,4,Medium,Neutral,1
2641,18 and Under,C White Lightening Serum,4.2,115,Sample,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,4,Medium,Neutral,1
2753,25 - 29,Let It Glow Hydraveil Primer Serum,4.6,2240,Instagram,Corrector \\u0026 Primer,Face,Dry,1 week - 1 month,0,5,Medium Light,Neutral,1
2780,19 - 24,Ultralight Hydraglow Day Cream,4.9,41,Instagram,Day Cream,Moisturizer,Normal,Less than 1 week,0,5,Medium,Neutral,1
2781,19 - 24,Matte My Day Hydraveil Primer Serum,5.0,109,Shopee,Corrector \\u0026 Primer,Face,Combination,Less than 1 week,1,5,Medium,Warm,1
2783,30 - 34,Hydrasoothe Sunscreen Gel SPF 45+++,4.9,1099,Tokopedia,Sun Protection,Moisturizer,Oily,3 months - 6 months,0,5,Medium Light,Warm,1
